time,real,imag
0.000000,2.000000,-0.000000
0.049087,1.968827,0.292048
0.098175,1.877106,0.569414
0.147262,1.730128,0.818289
0.196350,1.536356,1.026560
0.245437,1.306921,1.184524
0.294524,1.054957,1.285469
0.343612,0.794814,1.326066
0.392699,0.541196,1.306563
0.441786,0.308290,1.230763
0.490874,0.108911,1.105790
0.539961,-0.046261,0.941658
0.589049,-0.149316,0.750661
0.638136,-0.195588,0.546632
0.687223,-0.183930,0.344109
0.736311,-0.116777,0.157456
0.785398,0.000000,-0.000000
0.834486,0.157456,-0.116777
0.883573,0.344109,-0.183930
0.932660,0.546632,-0.195588
0.981748,0.750661,-0.149316
1.030835,0.941658,-0.046261
1.079922,1.105790,0.108911
1.129010,1.230763,0.308290
1.178097,1.306563,0.541196
1.227185,1.326066,0.794814
1.276272,1.285469,1.054957
1.325359,1.184524,1.306921
1.374447,1.026560,1.536356
1.423534,0.818289,1.730128
1.472622,0.569414,1.877106
1.521709,0.292048,1.968827
1.570796,0.000000,2.000000
1.619884,-0.292048,1.968827
1.668971,-0.569414,1.877106
1.718058,-0.818289,1.730128
1.767146,-1.026560,1.536356
1.816233,-1.184524,1.306921
1.865321,-1.285469,1.054957
1.914408,-1.326066,0.794814
1.963495,-1.306563,0.541196
2.012583,-1.230763,0.308290
2.061670,-1.105790,0.108911
2.110758,-0.941658,-0.046261
2.159845,-0.750661,-0.149316
2.208932,-0.546632,-0.195588
2.258020,-0.344109,-0.183930
2.307107,-0.157456,-0.116777
2.356194,0.000000,0.000000
2.405282,0.116777,0.157456
2.454369,0.183930,0.344109
2.503457,0.195588,0.546632
2.552544,0.149316,0.750661
2.601631,0.046261,0.941658
2.650719,-0.108911,1.105790
2.699806,-0.308290,1.230763
2.748894,-0.541196,1.306563
2.797981,-0.794814,1.326066
2.847068,-1.054957,1.285469
2.896156,-1.306921,1.184524
2.945243,-1.536356,1.026560
2.994330,-1.730128,0.818289
3.043418,-1.877106,0.569414
3.092505,-1.968827,0.292048
3.141593,-2.000000,0.000000
3.190680,-1.968827,-0.292048
3.239767,-1.877106,-0.569414
3.288855,-1.730128,-0.818289
3.337942,-1.536356,-1.026560
3.387030,-1.306921,-1.184524
3.436117,-1.054957,-1.285469
3.485204,-0.794814,-1.326066
3.534292,-0.541196,-1.306563
3.583379,-0.308290,-1.230763
3.632467,-0.108911,-1.105790
3.681554,0.046261,-0.941658
3.730641,0.149316,-0.750661
3.779729,0.195588,-0.546632
3.828816,0.183930,-0.344109
3.877903,0.116777,-0.157456
3.926991,0.000000,-0.000000
3.976078,-0.157456,0.116777
4.025166,-0.344109,0.183930
4.074253,-0.546632,0.195588
4.123340,-0.750661,0.149316
4.172428,-0.941658,0.046261
4.221515,-1.105790,-0.108911
4.270603,-1.230763,-0.308290
4.319690,-1.306563,-0.541196
4.368777,-1.326066,-0.794814
4.417865,-1.285469,-1.054957
4.466952,-1.184524,-1.306921
4.516039,-1.026560,-1.536356
4.565127,-0.818289,-1.730128
4.614214,-0.569414,-1.877106
4.663302,-0.292048,-1.968827
4.712389,-0.000000,-2.000000
4.761476,0.292048,-1.968827
4.810564,0.569414,-1.877106
4.859651,0.818289,-1.730128
4.908739,1.026560,-1.536356
4.957826,1.184524,-1.306921
5.006913,1.285469,-1.054957
5.056001,1.326066,-0.794814
5.105088,1.306563,-0.541196
5.154175,1.230763,-0.308290
5.203263,1.105790,-0.108911
5.252350,0.941658,0.046261
5.301438,0.750661,0.149316
5.350525,0.546632,0.195588
5.399612,0.344109,0.183930
5.448700,0.157456,0.116777
5.497787,0.000000,0.000000
5.546875,-0.116777,-0.157456
5.595962,-0.183930,-0.344109
5.645049,-0.195588,-0.546632
5.694137,-0.149316,-0.750661
5.743224,-0.046261,-0.941658
5.792311,0.108911,-1.105790
5.841399,0.308290,-1.230763
5.890486,0.541196,-1.306563
5.939574,0.794814,-1.326066
5.988661,1.054957,-1.285469
6.037748,1.306921,-1.184524
6.086836,1.536356,-1.026560
6.135923,1.730128,-0.818289
6.185011,1.877106,-0.569414
6.234098,1.968827,-0.292048
